"Prix de vente";"Cuisses de poulet";"Tranches de Jambon";"Pâté de porc";"Terrine de volaille";"Mousse de canard"
0;0;0;0;0;0
0,1;0;0;0;0;0
0,2;0;0;0;0;0
0,30000000000000004;0;0;0;0;0
0,4;0;0;0;0;0
0,5;0;0;0,0001;0;0
0,6;0;0;0,0003;0;0
0,7;0;0;0,0009;0;0
0,7999999999999999;0;0;0,0024;0,0001;0
0,8999999999999999;0;0;0,0061;0,0001;0
0,9999999999999999;0;0;0,0143;0,0002;0
1,0999999999999999;0;0;0,0309;0,0005;0
1,2;0;0;0,0618;0,0009;0
1,3;0,0001;0;0,1147;0,0018;0,0001
1,4000000000000001;0,0001;0;0,1977;0,0032;0,0002
1,5000000000000002;0,0001;0;0,3161;0,0057;0,0003
1,6000000000000003;0,0002;0;0,4688;0,0099;0,0005
1,7000000000000004;0,0003;0;0,6449;0,0165;0,0008
1,8000000000000005;0,0005;0;0,8231;0,0266;0,0012
1,9000000000000006;0,0007;0;0,9746;0,0416;0,002
2,0000000000000004;0,001;0;1,0704;0,0629;0,0031
2,1000000000000005;0,0014;0;1,0907;0,0922;0,0047
2,2000000000000006;0,002;0;1,031;0,1306;0,0071
2,3000000000000007;0,0028;0;0,9041;0,1793;0,0106
2,400000000000001;0,0039;0;0,7355;0,2382;0,0154
2,500000000000001;0,0053;0;0,555;0,3063;0,022
2,600000000000001;0,0073;0;0,3886;0,3814;0,0309
2,700000000000001;0,0098;0;0,2524;0,4596;0,0425
2,800000000000001;0,013;0;0,1521;0,5363;0,0574
2,9000000000000012;0,0171;0,0001;0,085;0,6057;0,076
3,0000000000000013;0,0223;0,0004;0,0441;0,6623;0,0989
3,1000000000000014;0,0286;0,0024;0,0212;0,701;0,1262
3,2000000000000015;0,0364;0,0115;0,0095;0,7183;0,1581
3,3000000000000016;0,0458;0,044;0,0039;0,7125;0,1943
3,4000000000000017;0,057;0,1371;0,0015;0,6841;0,2344
3,5000000000000018;0,0701;0,3473;0,0005;0,6359;0,2775
3,600000000000002;0,0852;0,7158;0,0002;0,5723;0,3225
3,700000000000002;0,1025;1,1999;0,0001;0,4985;0,3677
3,800000000000002;0,1219;1,6358;0;0,4204;0,4116
3,900000000000002;0,1433;1,8138;0;0,3432;0,452
4,000000000000002;0,1665;1,6358;0;0,2712;0,4873
4,100000000000001;0,1914;1,1999;0;0,2075;0,5155
4,200000000000001;0,2176;0,7158;0;0,1537;0,5352
4,300000000000001;0,2445;0,3473;0;0,1102;0,5454
4,4;0,2718;0,1371;0;0,0765;0,5454
4,5;0,2986;0,044;;0,0514;0,5352
4,6;0,3245;0,0115;;0,0334;0,5155
4,699999999999999;0,3486;0,0024;;0,021;0,4873
4,799999999999999;0,3704;0,0004;;0,0128;0,452
4,899999999999999;0,3891;0,0001;;0,0076;0,4116
4,999999999999998;0,4041;0;;0,0043;0,3677
5,099999999999998;0,4151;0;;0,0024;0,3225
5,1999999999999975;0,4216;0;;0,0013;0,2775
5,299999999999997;0,4234;0;;0,0007;0,2344
5,399999999999997;0,4204;0;;0,0003;0,1943
5,4999999999999964;0,4128;0;;0,0002;0,1581
5,599999999999996;0,4007;0;;0,0001;0,1262
5,699999999999996;0,3847;0;;0;0,0989
5,799999999999995;0,3652;;;0;0,076
5,899999999999995;0,3428;;;0;0,0574
5,999999999999995;0,3182;;;0;0,0425
6,099999999999994;0,292;;;0;0,0309
6,199999999999994;0,265;;;0;0,022
6,299999999999994;0,2378;;;0;0,0154
6,399999999999993;0,211;;;0;0,0106
6,499999999999993;0,1851;;;0;0,0071
6,5999999999999925;0,1606;;;0;0,0047
6,699999999999992;0,1377;;;0;0,0031
6,799999999999992;0,1168;;;0;0,002
6,8999999999999915;0,098;;;0;0,0012
6,999999999999991;0,0813;;;;0,0008
7,099999999999991;0,0666;;;;0,0005
7,19999999999999;0,054;;;;0,0003
7,29999999999999;0,0433;;;;0,0002
7,39999999999999;0,0343;;;;0,0001
7,499999999999989;0,0269;;;;0
7,599999999999989;0,0209;;;;0
7,699999999999989;0,016;;;;0
7,799999999999988;0,0121;;;;0
7,899999999999988;0,0091;;;;0
7,999999999999988;0,0067;;;;0
8,099999999999987;0,0049;;;;0
8,199999999999987;0,0036;;;;0
8,299999999999986;0,0026;;;;0
8,399999999999986;0,0018;;;;0
8,499999999999986;0,0013;;;;0
8,599999999999985;0,0009;;;;0
8,699999999999985;0,0006;;;;0
8,799999999999985;0,0004;;;;0
8,899999999999984;0,0003;;;;0
8,999999999999984;0,0002;;;;0
9,099999999999984;0,0001;;;;0
9,199999999999983;0,0001;;;;0
9,299999999999983;0;;;;
9,399999999999983;0;;;;
9,499999999999982;0;;;;
9,599999999999982;0;;;;
9,699999999999982;0;;;;
9,799999999999981;0;;;;
9,89999999999998;0;;;;
9,99999999999998;0;;;;
10,09999999999998;0;;;;
10,19999999999998;0;;;;
10,29999999999998;0;;;;
10,399999999999979;0;;;;
10,499999999999979;0;;;;
10,599999999999978;0;;;;
10,699999999999978;0;;;;
10,799999999999978;0;;;;
10,899999999999977;0;;;;
10,999999999999977;0;;;;
11,099999999999977;0;;;;
11,199999999999976;0;;;;
11,299999999999976;0;;;;
11,399999999999975;0;;;;
11,499999999999975;0;;;;
